"task_id","simulation_seed","observed_data_md5","comparison","model_a","model_b","RMSE_model_a","RMSE_model_b","paired_RMSE_difference_model_a_minus_model_b","winner_lower_RMSE"
46,1046,"9df354b439dcb34c0723dc7a22427817","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.535747139219747,1.80297282811176,-1.26722568889201,"gamma_noise"
47,1047,"a27592b2dc2d1f22ae7b3b7d52d6c6e8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.459466055825722,1.59568009164795,-1.13621403582223,"gamma_noise"
48,1048,"e149dfe63fefba3d9450d8ebe55e2be8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.396536693273822,1.1364978290429,-0.739961135769082,"gamma_noise"
49,1049,"c24fd9ec2467b6f39b42b31426dcbff7","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.61935917386779,1.03087694668075,-0.411517772812963,"gamma_noise"
50,1050,"7dc1a3b5ba09f2ddcb65bf5b7422a9ed","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.551514077232048,1.29362659434455,-0.742112517112506,"gamma_noise"
51,1051,"900920f25b406cb0530e847b193e6c9b","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.408447571620159,1.12732393581744,-0.71887636419728,"gamma_noise"
52,1052,"94c869cc26cd44cd9de1033132a41b1b","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.668504255737662,1.43800324911993,-0.76949899338227,"gamma_noise"
53,1053,"21c503be1bfd17d135902892b999365f","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.549722086181775,1.02983494024522,-0.480112854063444,"gamma_noise"
54,1054,"bb6ab35a8708f3f23940941298b79dbc","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.505762481352082,1.15871400329234,-0.652951521940257,"gamma_noise"
55,1055,"7481513b9e19d7a30b033ad1490d6f16","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.574529486798016,1.00735791445927,-0.432828427661255,"gamma_noise"
56,1056,"08c1962e5f9bd4d5168d1afa7314d508","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.432124146620329,1.27364987175065,-0.841525725130317,"gamma_noise"
57,1057,"0fa2ff4b3c51077ca4a85e846724b31e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.739361100138308,1.00788484649047,-0.268523746352157,"gamma_noise"
58,1058,"fb197f5caf6d73b93cf36910dcf5bd62","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.640920982486359,1.07446822948703,-0.433547247000668,"gamma_noise"
59,1059,"85c4aca3511ef3a6574f147464f1b8a6","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.442633356339491,1.04106113097789,-0.598427774638402,"gamma_noise"
60,1060,"0f9b10d21fc1c74a53d447b4ab6c4a76","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.489931522695275,1.16195693194183,-0.672025409246556,"gamma_noise"
61,1061,"ef64f00e9a05074fb3305ee8fb186803","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.4536693173471,1.16220751663828,-0.708538199291182,"gamma_noise"
62,1062,"a04acf843bb2ea72629f7c891c0bc0d1","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.464524088546385,1.11839429252182,-0.653870203975439,"gamma_noise"
63,1063,"0b8692e4c4282eea08c84c3a7521bdca","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.351543249970901,1.18594856999572,-0.834405320024824,"gamma_noise"
64,1064,"65224e6e0078d6ba21ee5d2bd4a6c743","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.456589586717898,1.0256146501396,-0.569025063421699,"gamma_noise"
65,1065,"d23c93587fac0bd4c1fffe812bf746e2","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.412647553143853,1.25316962340319,-0.840522070259336,"gamma_noise"
66,1066,"b503c7aa16489912e1de4bcf79bdc277","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.465511144792515,1.27657667702306,-0.811065532230549,"gamma_noise"
67,1067,"a64edf122ea9288d9cc5843d572b4219","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.410016583928588,1.53657717304098,-1.12656058911239,"gamma_noise"
68,1068,"e2dc17973047d198b1f70625999d7313","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.4877177363771,1.2788335945489,-0.791115858171802,"gamma_noise"
69,1069,"8e4ff1513256eaffe3731b1dbc82ec29","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.927286532968628,1.11446334224593,-0.187176809277303,"gamma_noise"
70,1070,"3f39c2020f727aeaa01ef9ba099939bb","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.454288168943962,1.02638688531463,-0.572098716370669,"gamma_noise"
71,1071,"f8a2941f2630be877dd64b0b25a3e9dd","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.392665645302321,1.28634377282287,-0.893678127520546,"gamma_noise"
72,1072,"4ef60d1f950055935545ba4d8849c6a4","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.446868236033895,1.30218611263611,-0.855317876602213,"gamma_noise"
73,1073,"23ed6d0e534e19ffc952e0a9519e96fd","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.363548263454072,1.18343310360669,-0.81988484015262,"gamma_noise"
74,1074,"44fe946085f2400c80cee533d6231e9a","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.461164759035353,1.05590744044139,-0.594742681406041,"gamma_noise"
75,1075,"0d820f5ccbfe13549eea216ee2513074","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.524447811116842,1.06063356301077,-0.536185751893923,"gamma_noise"
76,1076,"91d5e8bc67046e3d44e7a47924bb3404","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.499901478726225,1.23280563482062,-0.732904156094392,"gamma_noise"
77,1077,"4fe16663f3cfd5b374d35dd29d9cdca8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.352344929384121,1.13288662079671,-0.780541691412591,"gamma_noise"
78,1078,"83a908c8ed5455b6c9ef246884162afc","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.606629590697523,1.0899052441511,-0.483275653453578,"gamma_noise"
79,1079,"022bd08caeebfca4473b74c3678f71c2","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.456319497206897,1.06104514348817,-0.604725646281273,"gamma_noise"
80,1080,"0bfd2bd8ee2ddc3923c9cef719215e45","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.479235053224172,1.26342968046886,-0.784194627244692,"gamma_noise"
81,1081,"b3ce4c9c57f114ee806b5ede899e654c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.482414496665058,1.41012649335463,-0.92771199668957,"gamma_noise"
82,1082,"345f145ce6e49d5527737547b7d7bcc9","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.579491368390534,1.13314766746455,-0.553656299074013,"gamma_noise"
83,1083,"5cd6b677ff91eaefd7913f277989cb3a","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.716591715072683,1.175747786822,-0.459156071749314,"gamma_noise"
84,1084,"ec4eb27a1b0dc4aef15289699a23db33","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.551834702427251,1.0471953769707,-0.495360674543454,"gamma_noise"
85,1085,"f306053231f91c40dca3c621e8419b61","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.367370209648651,1.10499944122401,-0.73762923157536,"gamma_noise"
86,1086,"e89799bf4fcfc5e7d882e1a15e433b0c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.770765383948146,1.00175638214422,-0.230990998196075,"gamma_noise"
87,1087,"83d5cd04167b4c25b941369e1cd89c12","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.594870499575694,1.29506608280223,-0.700195583226533,"gamma_noise"
88,1088,"e68e6eddaef14b8f6833f1889cb09727","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.373187175085197,1.216594701645,-0.843407526559806,"gamma_noise"
89,1089,"aa9cc98baf1a333684a7dcc3407aadc4","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.452784527052673,1.10367079572796,-0.650886268675284,"gamma_noise"
90,1090,"3b62c1a3abbc8f8d77b3f0094d799c08","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.520302200051217,1.55012094289538,-1.02981874284416,"gamma_noise"
91,1091,"ffb0df50d948dd9dad8db95b89578130","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.377374560802797,1.14160139452595,-0.764226833723155,"gamma_noise"
92,1092,"42c5e41b64f024125d08f483c49d5109","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.656231839721197,1.04171640675742,-0.38548456703622,"gamma_noise"
93,1093,"7866b869b011f99e5a6d626fd2b53319","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.361744889546328,1.07520575670686,-0.71346086716053,"gamma_noise"
94,1094,"cb6e4431d9ef11ffbb0c3c60fc93a658","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.62332769089781,1.24708512305265,-0.62375743215484,"gamma_noise"
95,1095,"e2c94ae6df04e9da8177ab346fbd245e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.363230204900703,1.1123816230707,-0.749151418169994,"gamma_noise"
96,1096,"dce19abeba3755021094f84a48b227a7","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.488272452989507,1.21155071457323,-0.723278261583726,"gamma_noise"
97,1097,"5f10705eaab893b924c7745af7cbddc2","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.508762756782977,1.29029286781049,-0.781530111027514,"gamma_noise"
98,1098,"a0c73b07405f66c422d099e5a3c08c54","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.611449432938691,1.0347212139306,-0.42327178099191,"gamma_noise"
99,1099,"9d985583339f37fbacb7140d4222662d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.589273321331284,1.06378346144422,-0.474510140112937,"gamma_noise"
100,1100,"8ea86fffc296b32f99e63ed723d89d90","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.721428048618179,1.67645188259687,-0.955023833978689,"gamma_noise"
101,1101,"51fea122ace66c28fcf6227076a2210d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.44806790166156,1.10319217053835,-0.655124268876788,"gamma_noise"
102,1102,"87466aaae46506b8e351c34782985403","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.707161522682363,1.0033149634652,-0.296153440782836,"gamma_noise"
103,1103,"e898b26388bd31312b334e141687631d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.475285403500422,1.20100333162375,-0.725717928123325,"gamma_noise"
104,1104,"f7b481c3a4568173c9a99c1b4d8c5521","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.488562845955778,1.10069335258912,-0.612130506633343,"gamma_noise"
105,1105,"fda815e14a2797f663c51a8c3fc66eeb","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.644451429038588,1.41212375371605,-0.767672324677464,"gamma_noise"
106,1106,"2ace1767dd5349b12ef5f3a5bd831ab8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.627539110790274,1.48369505452048,-0.856155943730208,"gamma_noise"
107,1107,"d3c22607503e5f474a3f5ebe80ebdf3d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.430564759901849,1.34613543048145,-0.915570670579602,"gamma_noise"
108,1108,"68aa1cfbcec0e4ea336983e4d1e49773","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.667969792435911,1.32424952568939,-0.656279733253483,"gamma_noise"
109,1109,"64378d1cf8147aa375c77012a1f6217d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.408324981668007,1.0777310873119,-0.669406105643892,"gamma_noise"
110,1110,"4c9bdb3191d72e532b9af0440b61821e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.625236848162405,1.86531516086282,-1.24007831270041,"gamma_noise"
111,1111,"90bc4d41e3adeb7ca6a265e34199593d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.619129624570802,1.22948950143562,-0.610359876864814,"gamma_noise"
112,1112,"2de6dbe92e20217bcb1faa713be3c7e9","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.793606796821347,1.15408988663867,-0.360483089817326,"gamma_noise"
113,1113,"62d44f5b5cf3a1a10474477b2836ac7c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.381627388361575,1.16916185652208,-0.787534468160509,"gamma_noise"
114,1114,"e8aa5c36f38132f5ccc9683b131a520e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.396998386673689,1.10068483936387,-0.703686452690182,"gamma_noise"
115,1115,"527c2542099f691a2a03e60fc5521e3b","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.502389396166007,1.15205808530376,-0.649668689137754,"gamma_noise"
116,1116,"493ff3d28fe2680d1b7fc1f343262be6","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.607066767495006,1.31246800809851,-0.705401240603506,"gamma_noise"
117,1117,"64dffb15867fda5ef262e2caf0e46bbf","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.559857915496754,1.07256540520348,-0.512707489706729,"gamma_noise"
118,1118,"4fe04592b1bd1b0073226474bda79a17","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.428813916871066,1.20178200566805,-0.772968088796982,"gamma_noise"
119,1119,"53a63bcc974e882529742ef97a8b74d5","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.417102151370769,1.14321106718324,-0.726108915812471,"gamma_noise"
120,1120,"4d64fbb86d0c71298cfafd74891b1601","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.524834812524678,1.00838604438377,-0.483551231859093,"gamma_noise"
121,1121,"fc119966f9fa86c9beb582f612bc73ec","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.45316369317678,1.17326160575934,-0.72009791258256,"gamma_noise"
122,1122,"2de2afe17b444c1be6ab135102d2e749","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.448908150899269,1.10848058226536,-0.659572431366088,"gamma_noise"
123,1123,"8b49cbb9e926a62a502c208b4a74393a","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.80563430593084,1.3222373506952,-0.516603044764361,"gamma_noise"
124,1124,"fee16d34d4badef781de40b823c932b3","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.468727363038151,1.30890409559675,-0.840176732558596,"gamma_noise"
125,1125,"49b1406d1f09cf7ccfb97517eb1d686b","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.710774754277251,1.73534185399189,-1.02456709971464,"gamma_noise"
126,1126,"89c12c0c7af03e2dcd492d20daed2fb8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.480633782315243,1.08329749053486,-0.602663708219617,"gamma_noise"
127,1127,"d6cf87e625366c1649bd82f3bda75a50","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.607471941240681,1.02063939790524,-0.413167456664556,"gamma_noise"
128,1128,"e7c98f0c8ff03fc89b23b860ab6e055c","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.621057234409449,1.00251499283979,-0.381457758430342,"gamma_noise"
129,1129,"89bab4fa545504e51f4b5b765fa2b9ae","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.506017228040248,1.11121752995778,-0.605200301917528,"gamma_noise"
130,1130,"bf14545e60a11dc820244df794a9bbde","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.84443495532812,1.00207320713906,-0.157638251810936,"gamma_noise"
131,1131,"f9b4bd3734443873f1d31c98484de516","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.389199948909513,1.11192209820381,-0.722722149294298,"gamma_noise"
132,1132,"b571595faf7cf9bf9fb646335e089636","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.94751767044351,1.00005786710652,-0.0525401966630116,"gamma_noise"
133,1133,"0a62c14ca9858effb08a88d2cabe1673","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.637042042824948,1.2118471390691,-0.574805096244147,"gamma_noise"
134,1134,"6cdb8dae15bac319b768e307416ee6b2","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.41697274310348,1.27351635298734,-0.856543609883865,"gamma_noise"
135,1135,"f5fbe5bac9e630e09a5f83fdcd75b932","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.494938936367508,1.33820914624666,-0.843270209879148,"gamma_noise"
136,1136,"75dc159ba49385507004b04106ac29e8","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.520666189411406,1.28379615504016,-0.763129965628751,"gamma_noise"
137,1137,"25af99e573ba8708856ba71f5d31801d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.444530956414592,1.12586582526643,-0.681334868851836,"gamma_noise"
138,1138,"24ce0d2a3efbc542f5ad5931cbdb79aa","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.438028118589012,1.15016148748447,-0.712133368895459,"gamma_noise"
139,1139,"392c573a8d8baf810091dbff34258106","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.347620620901397,1.34210545579285,-0.994484834891457,"gamma_noise"
140,1140,"9af7f4bb9f26f77c38c192936cf0be33","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.323706456514965,1.0554383013389,-0.731731844823931,"gamma_noise"
141,1141,"bd55561900b24ec7c3c7ac64a514ac02","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.546003602016252,1.37131627442552,-0.825312672409267,"gamma_noise"
142,1142,"d1a06c9101d2c0ee727ae600038327ba","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.468803207062816,1.48974289991898,-1.02093969285616,"gamma_noise"
143,1143,"5e8bbd223a147392f54cce5f77c7b52e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.419707444607168,1.07497732735663,-0.655269882749464,"gamma_noise"
144,1144,"a7c2af9704a9238a0ba07d099939a75d","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.468190607889059,1.01973957402922,-0.551548966140162,"gamma_noise"
145,1145,"2db60151e6a71b77be25757b07f7d413","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.518343677365828,1.15254939852563,-0.634205721159797,"gamma_noise"
146,1146,"11b683568a8c7109187e0d518ad44753","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.572859490709863,1.20254439858132,-0.629684907871461,"gamma_noise"
147,1147,"39e27a57bdf2c1c57e6c23b743348818","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.407710988715582,1.12303738640522,-0.715326397689643,"gamma_noise"
148,1148,"08f76d2a0f0fd7c0c65c77a4e3db66f5","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.628212145212537,1.23755394123042,-0.609341796017883,"gamma_noise"
149,1149,"73fb1389d38e28b1daab2d44d648d7dc","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.731181820968916,1.00106391224294,-0.269882091274027,"gamma_noise"
150,1150,"4538cec1dfd416909e103d8882091c24","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.487322561868697,1.07779514042482,-0.590472578556128,"gamma_noise"
151,1151,"c30a72bbd9994edc5a6a1c2aed4242b1","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.559732580935938,1.03970667244019,-0.479974091504252,"gamma_noise"
152,1152,"6a9c86481f4a2482e1b37d74f117071e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.480926411211484,1.77678506825905,-1.29585865704756,"gamma_noise"
153,1153,"442e0ebc852ae02e3200593355a37960","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.461754246877653,1.19188221600525,-0.730127969127594,"gamma_noise"
154,1154,"64361962d8cd28975836ca41ffba829e","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.536848761255519,1.31759913088232,-0.780750369626798,"gamma_noise"
155,1155,"af7b6609489cc20efa3782fad07fa0d9","Gamma-noise vs Constant-B","gamma_noise","constant_B",0.516806565392516,1.31692440224223,-0.800117836849719,"gamma_noise"
